tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#QGCLV2J0,marleigh,9,11,10827427,1,#QGCLV2J0,#82VUU0VQ9,3,3,100,#82VUU0VQ9,.❤ ❤LOVE❤ ❤.,8,11,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#YGPVUP08P,دربست جهنم,3,13,10827427,2,#YGPVUP08P,#9PP22PVPR,3,3,100,#9PP22PVPR,Strider,5,12,0,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#YYLC2CJ20,Kramer,15,9,10827427,3,#YYLC2CJ20,#PUV02CGU0,1,1,64,#PUV02CGU0,Soon ... ✌,15,10,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#G099YGUG,HomeSlicedToast,8,11,10827427,4,#G099YGUG,#9GCVLJC80,3,3,100,#9GCVLJC80,Black Dragon,7,11,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#Q082V8J28,resa,24,8,10827427,5,#Q082V8J28,#Q2RUCY88L,3,3,100,#Q2RUCY88L,Ice Golem,25,8,0,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#J9RGCLGL,Triton,2,13,10827427,6,#J9RGCLGL,#9QU099VQ8,2,2,79,#9QU099VQ8,°ToRPEDo°,2,13,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#QGCLV2J0,marleigh,9,11,10827427,7,#QGCLV2J0,#C9RC8CQR,2,2,83,#C9RC8CQR,Trowa,4,12,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#Q2V2QPQ0P,Fisk,26,8,10827427,8,#Q2V2QPQ0P,#PPR98UPQY,3,3,100,#PPR98UPQY,ZOE,25,8,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#PGPJV9VCJ,Deer,20,9,10827427,9,#PGPJV9VCJ,#LYPCCQ2QR,2,2,69,#LYPCCQ2QR,__Snoop,20,9,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#YYLC2CJ20,Kramer,15,9,10827427,10,#YYLC2CJ20,#YQ8Y9JC9L,2,2,98,#YQ8Y9JC9L,MØH@MM@D,16,9,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#YPV0JUQYU,ゲーワライ,28,7,10827427,11,#YPV0JUQYU,#9CR2CLULU,3,3,100,#9CR2CLULU,مهديار يوزباشى,28,7,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#Q2RUCY88L,Ice Golem,25,8,10827427,12,#Q2RUCY88L,#Q082V8J28,3,3,100,#Q082V8J28,resa,24,8,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#2LQ9Y8CUR,kingTzilla,29,7,10827427,13,#2LQ9Y8CUR,#LRVJYQGLQ,3,3,100,#LRVJYQGLQ,مهدی,29,8,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#YPV0JUQYU,ゲーワライ,28,7,10827427,14,#YPV0JUQYU,#Q8PPPGUQG,3,3,100,#Q8PPPGUQG,Mehdi,27,7,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#Q2RUCY88L,Ice Golem,25,8,10827427,15,#Q2RUCY88L,#QY9Y8LRL0,3,3,100,#QY9Y8LRL0,arshia,26,8,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#QPCGUVVQC,Nick v2,27,8,10827427,16,#QPCGUVVQC,#Q9GUUUURV,3,3,100,#Q9GUUUURV,همیشه بهار,30,6,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#29Q8Y200G,Pixalite,24,9,10827427,17,#29Q8Y200G,#Q08YPVC92,3,3,100,#Q08YPVC92,سبحان,19,9,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#29Q8Y200G,Pixalite,24,9,10827427,18,#29Q8Y200G,#LRCG89PCJ,3,3,100,#LRCG89PCJ,__R_E_Z_A__,17,9,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#Q2V2QPQ0P,Fisk,26,8,10827427,19,#Q2V2QPQ0P,#PVJVCVGR0,0,0,48,#PVJVCVGR0,Logan ✌,22,9,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#G099YGUG,HomeSlicedToast,8,11,10827427,20,#G099YGUG,#289LL8U0V,2,2,83,#289LL8U0V,$KINGAli$,5,12,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#PGPJV9VCJ,Deer,20,9,10827427,21,#PGPJV9VCJ,#Y8QY00LY9,3,3,100,#Y8QY00LY9,مهناز,23,9,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#Y9V8LUCLQ,Sloth,18,9,10827427,22,#Y9V8LUCLQ,#YQ8Y9JC9L,2,0,83,#YQ8Y9JC9L,MØH@MM@D,16,9,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#QPCGUVVQC,Nick v2,27,8,10827427,23,#QPCGUVVQC,#PVJVCVGR0,2,2,69,#PVJVCVGR0,Logan ✌,22,9,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#990LG8Q9R,Pixal,7,11,10827427,24,#990LG8Q9R,#YQL02P0PU,2,2,99,#YQL02P0PU,Best ✌,9,11,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#Y9V8LUCLQ,Sloth,18,9,10827427,25,#Y9V8LUCLQ,#PUV02CGU0,2,1,90,#PUV02CGU0,Soon ... ✌,15,10,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#2LQ9Y8CUR,kingTzilla,29,7,10827427,26,#2LQ9Y8CUR,#9CR2CLULU,3,0,100,#9CR2CLULU,مهديار يوزباشى,28,7,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#LVY9R20CR,Dry Dream,14,10,10827427,27,#LVY9R20CR,#9RJLYU22L,2,2,90,#9RJLYU22L,°ToRPEDo°,12,10,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
#LVY9R20CR,Dry Dream,14,10,10827427,28,#LVY9R20CR,#PCLU08PYY,3,3,100,#PCLU08PYY,عاشق تنها,14,10,1,#VUCVG2J0,Sheer Force,14,#UQGU8PL2,Best friends ✌,14,2021-05-22 21:41:25,30,normal
