,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
193,Strider,#9PP22PVPR,9/26/2021,12.0,Dark Matter,9,2,0.2222222222222222
195,Collin,#PP2L0LUL9,9/26/2021,14.0,Dark Matter,9,4,0.4444444444444444
202,Taran,#2GLL0ULLR,9/26/2021,12.0,Dark Matter,9,1,0.1111111111111111
205,Drago,#JGYQV8GL,9/26/2021,14.0,Dark Matter,9,3,0.3333333333333333
207,Hut?,#P0CPCRLR,9/20/2021,14.0,Dark Matter,9,4,0.4444444444444444
208,king drewbie,#Q2PYGPUC8,9/20/2021,13.0,Dark Matter,9,3,0.3333333333333333
209,Joyel!!,#9C2QLPYLC,9/20/2021,10.0,Dark Matter,9,3,0.3333333333333333
210,Noland™️,#2V0Y20RQU,9/20/2021,12.0,Dark Matter,9,3,0.3333333333333333
211,morfowt,#2PLJPGR0Q,9/20/2021,12.0,Dark Matter,9,3,0.3333333333333333
213,Aid2,#8LY0RYJ28,9/16/2021,14.0,Dark Matter,9,3,0.3333333333333333
215,Willy,#22Q8Y2CU9,9/14/2021,10.0,Dark Matter,9,1,0.1111111111111111
216,Alex The Great,#Q9P9JCVRV,9/11/2021,6.0,Dark Matter,9,4,0.4444444444444444
217,sillysilas,#Y9P0RUU0,9/11/2021,12.0,Dark Matter,9,1,0.1111111111111111
218,HomeSlicedToast,#G099YGUG,8/30/2021,12.0,Dark Matter,9,2,0.2222222222222222
219,Kiwi,#2C9LR9P2Q,8/28/2021,12.0,Dark Matter,9,2,0.2222222222222222
329,Henny,#Y0LVUG0CG,,12.0,Dark Matter,9,0,0.0
330,Logan,#280QYU8Y,,14.0,Dark Matter,9,0,0.0
331,"Drew, And",#GL9JRQR2,,12.0,Dark Matter,9,0,0.0
332,aid,#CVYC8LQV,,13.0,Dark Matter,9,0,0.0
333,NotoriousBRFITE,#JR8UQ2GY,,14.0,Dark Matter,9,0,0.0
334,joyel,#82RPPRU9J,,12.0,Dark Matter,9,0,0.0
335,StringFire,#92RVQGR0C,,13.0,Dark Matter,9,0,0.0
336,Triton,#J9RGCLGL,,14.0,Dark Matter,9,0,0.0
337,Mebi,#22PR9220R,,13.0,Dark Matter,9,0,0.0
338,Victor,#LVU988P9,,13.0,Dark Matter,9,0,0.0
339,Pix,#2U2LLLQVV,,13.0,Dark Matter,9,0,0.0
340,Oscar,#J0GGQRU0,,12.0,Dark Matter,9,0,0.0
341,Darth Kenobi,#LQLRRPL2J,,3.0,Dark Matter,9,0,0.0
