PlayerTag,PlayerName,Clan Role,TownHall,PlayerLeague,Clan
#82RPPRU9J,joyel,Member,12,Champion League III,Legendary Monks
#222VPJPU,VILLAGE BICYCLE,Elder,14,Unranked,Legendary Monks
#98P0GPCQC,Baby Dragon,Member,14,Master League II,Legendary Monks
#9PP22PVPR,Strider,Member,12,Master League III,Legendary Monks
#QPPCJ8RJ8,Jimbooo,Member,9,Crystal League III,Legendary Monks
#QYURRY80Q,Joker,Member,9,Crystal League III,Legendary Monks
#Y9CG9QCLQ,divit,Member,9,Crystal League III,Legendary Monks
#QQP99P2PL,Mini Dang,Member,8,Gold League I,Legendary Monks
#LUUP92PVC,__Neard3__,Member,8,Gold League I,Legendary Monks
#QPLLY8QYL,Lt. poggers,Member,9,Gold League I,Legendary Monks
#PJUVP2GUC,turtlette,Co-Leader,9,Gold League II,Legendary Monks
#QLP92PVVV,Hannibal Lecter,Member,9,Gold League II,Legendary Monks
#QYRGV809Y,yobama,Member,9,Gold League II,Legendary Monks
#QLYLQRVUQ,joel22,Member,8,Gold League III,Legendary Monks
#QYJUGCVYV,Hermes2.0,Member,9,Unranked,Legendary Monks
#QLG80G890,CHICKIN (2),Member,8,Gold League III,Legendary Monks
#8022280QL,hippie god,Member,9,Gold League III,Legendary Monks
#Y9LCJP8LQ,Gutti Guy 2,Elder,9,Gold League III,Legendary Monks
#Q9VGC0CQ8,Mr. CoCo,Member,8,Gold League III,Legendary Monks
#Q00VVVL9U,Kinoko,Co-Leader,9,Gold League III,Legendary Monks
#YQUC0QLY8,Sid4realtho,Member,9,Gold League III,Legendary Monks
#PQY22VU2L,Raffallo,Member,8,Silver League I,Legendary Monks
#LYYPV9P09,Tøxïç Šūrgë 3,Member,8,Gold League III,Legendary Monks
#8QLG0YVVJ,Hec,Member,8,Silver League I,Legendary Monks
#Q0JGLCRLY,Buckshot,Member,7,Silver League I,Legendary Monks
#QPQUY8P00,Ivan The Deetch,Member,8,Silver League I,Legendary Monks
#YC2JRC088,__Neard2__,Member,9,Silver League I,Legendary Monks
#QLQJPL2L8,MaggieCarter,Member,8,Silver League I,Legendary Monks
#8PP29PLC8,Onahole,Co-Leader,10,Silver League II,Legendary Monks
#P08LRYVYJ,Chewi ⭐⭐⭐⭐⭐,Leader,9,Unranked,Legendary Monks
#QYC2GCPGQ,Blood Oath,Member,7,Silver League II,Legendary Monks
#8V09P8PPQ,Mori,Member,8,Unranked,Legendary Monks
#LVJ0LPCU9,⚔️FC Warrior⚔️,Co-Leader,8,Silver League III,Legendary Monks
#PLQJP099Q,Mort,Member,7,Unranked,Legendary Monks
#QYG9PVYJP,morf0wt,Member,7,Unranked,Legendary Monks
#PVVP028R8,Come-Stayin,Member,7,Silver League III,Legendary Monks
#PCQVY2RUJ,Elixir,Member,8,Bronze League I,Legendary Monks
#8GCGQJ9RP,Pieter,Elder,7,Unranked,Legendary Monks
#QYVPLCC8J,Lei,Member,8,Unranked,SN JAIN
