,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
86,Gluttony,#P9R8CY0RC,10/27/2021,9.0,Golden Clan,7,1,0.14285714285714285
97,marbear,#Y8QUY2LLQ,10/27/2021,9.0,Golden Clan,7,2,0.2857142857142857
102,ZoYoung,#QPPQYLGY8,10/27/2021,9.0,Golden Clan,7,1,0.14285714285714285
111,Afaq Ahmad,#8CRRG89PJ,10/24/2021,10.0,Golden Clan,7,1,0.14285714285714285
112,marleigh,#QGCLV2J0,10/17/2021,11.0,Golden Clan,7,3,0.42857142857142855
113,ManlyMeh1,#YRU0Y0C82,10/15/2021,10.0,Golden Clan,7,2,0.2857142857142857
295,Pixal™️,#PGJRLJG2C,,,Golden Clan,7,0,0.0
296,Dream Dream,#Q0P2YGQ0,,,Golden Clan,7,0,0.0
297,squeak,#820QYU99J,,,Golden Clan,7,0,0.0
298,julia,#LYQ20U2JP,,,Golden Clan,7,0,0.0
299,STAR,#YY0QGPYR8,,,Golden Clan,7,0,0.0
300,Joyel!!,#9C2QLPYLC,,,Golden Clan,7,0,0.0
301,sd,#LJQJG8CG,,,Golden Clan,7,0,0.0
302,Majïn Lex,#LG0LRVLPJ,,,Golden Clan,7,0,0.0
303,Alex The Wise,#Q9GL90U28,,,Golden Clan,7,0,0.0
304,Darth Grogu,#QYVPPQQYQ,,,Golden Clan,7,0,0.0
