,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
63,Willy,#22Q8Y2CU9,6/25/2021,10,Killer_Black_Wf,36,12,0.3333333333333333
66,Hut,#PGRCLG2JU,6/25/2021,9,Killer_Black_Wf,36,4,0.1111111111111111
68,THE DARK VENOM,#UGYUR2V9,6/25/2021,10,Killer_Black_Wf,36,8,0.2222222222222222
71,bibhu,#9R9JP000V,6/25/2021,11,Killer_Black_Wf,36,9,0.25
72,Robin,#L2RCPVJV,6/25/2021,10,Killer_Black_Wf,36,14,0.3888888888888889
73,⚠KaBbOoM⚠,#9JU8LR2UY,6/25/2021,10,Killer_Black_Wf,36,4,0.1111111111111111
74,luca,#L09J8JPY0,6/25/2021,10,Killer_Black_Wf,36,6,0.16666666666666666
75,marbear,#Y8QUY2LLQ,6/25/2021,9,Killer_Black_Wf,36,4,0.1111111111111111
77,Devinn,#V0UQ2LC,6/25/2021,10,Killer_Black_Wf,36,11,0.3055555555555556
78,Harvey,#PUGJ2R0C,6/25/2021,10,Killer_Black_Wf,36,9,0.25
79,Kramer,#YYLC2CJ20,6/25/2021,9,Killer_Black_Wf,36,14,0.3888888888888889
80,WOUTER,#22200C9QL,6/25/2021,9,Killer_Black_Wf,36,4,0.1111111111111111
81,ZARD,#LJ92JJ8Q,6/25/2021,10,Killer_Black_Wf,36,16,0.4444444444444444
82,Dagerson,#V9LQRUJR,6/25/2021,10,Killer_Black_Wf,36,12,0.3333333333333333
84,Elusive,#PJRGJUY08,6/25/2021,10,Killer_Black_Wf,36,4,0.1111111111111111
86,DonCorleone,#2CYVR82QQ,6/25/2021,9,Killer_Black_Wf,36,11,0.3055555555555556
87,Grandma 去,#P29R0UYJP,6/25/2021,10,Killer_Black_Wf,36,16,0.4444444444444444
97,Baby Dragon,#LPU228892,6/23/2021,9,Killer_Black_Wf,36,7,0.19444444444444445
128,Hero,#2GQ22RCCG,6/20/2021,10,Killer_Black_Wf,36,10,0.2777777777777778
136,Lindberghh II,#LUCC0GYPY,6/18/2021,10,Killer_Black_Wf,36,2,0.05555555555555555
140,Sloth,#Y9V8LUCLQ,6/15/2021,9,Killer_Black_Wf,36,7,0.19444444444444445
146,iopo,#LYR9JGUYQ,6/13/2021,9,Killer_Black_Wf,36,3,0.08333333333333333
158,COVID-19,#9R89Q2VC9,6/1/2021,13,Killer_Black_Wf,36,3,0.08333333333333333
167,Wet Nightmare,#LQ0PGV0LJ,5/31/2021,14,Killer_Black_Wf,36,2,0.05555555555555555
173,Baby Tekashi,#9RYCCPV8G,5/30/2021,8,Killer_Black_Wf,36,3,0.08333333333333333
174,Alex The Wise,#Q9GL90U28,5/26/2021,6,Killer_Black_Wf,36,14,0.3888888888888889
180,Joyel!!,#9C2QLPYLC,4/18/2021,10,Killer_Black_Wf,36,14,0.3888888888888889
182,Darth Yoda,#LCVUGVYLU,4/14/2021,3,Killer_Black_Wf,36,4,0.1111111111111111
