Name,Tag,Clan,Total Wars,Last War Date,Duration
Krakatoa,#Q2UQQPGPP,Mini Matter,5,1/6/2022,9d
ELLIOT10,#Q88PPJCG0,SN JAIN,4,1/6/2022,9d
Lei,#QYVPLCC8J,SN JAIN,2,1/6/2022,9d
Globslashes,#QPGJUL0PC,SN JAIN,6,1/6/2022,9d
毛猴头。,#LVU9UCG89,SN JAIN,1,1/6/2022,9d
Kakitani,#QL0CJCP0P,Mini Matter,6,1/6/2022,9d
R..I..D..E..R,#YCVVG992L,SN JAIN,4,1/6/2022,9d
cgrice10,#QYCUUVYRL,SN JAIN,2,1/6/2022,9d
Kiyoko,#QY8YJ8R0Q,SN JAIN,2,1/6/2022,9d
Darth Chewi,#Q8GPYC9PR,Mini Matter,4,1/6/2022,9d
Lola,#QGGVQ9P8C,Mini Matter,1,1/6/2022,9d
Gabe Alls,#QPC9UG0G2,SN JAIN,2,1/6/2022,9d
Chimmy,#LVRGVCPCU,SN JAIN,1,1/6/2022,9d
SHINYSHOOTER,#Q80UPV2GJ,SN JAIN,4,1/6/2022,9d
Dream v2,#Q9PC8PJYJ,Mini Matter,2,1/6/2022,9d
Cody belenger,#QPUVJPRYP,SN JAIN,2,1/6/2022,9d
rushed base):,#QYR9RQP0Q,SN JAIN,2,1/6/2022,9d
MiniPix,#LLURGGVP0,Mini Matter,1,1/6/2022,9d
texanji,#QP820PV88,SN JAIN,4,1/6/2022,9d
Damp Nap,#QPVJP22QG,Mini Matter,1,1/6/2022,9d
Tchaba,#8GRJLLG,Mini Matter,1,1/6/2022,9d
bread god,#LR0L89LUP,Mini Matter,1,1/6/2022,9d
FlipDon,#PRVV2GV80,Mini Matter,2,1/6/2022,9d
ben,#QLR0RCUYV,Mini Matter,1,1/6/2022,9d
Mr. Coco 1.2,#QY299LG90,Mini Matter,3,1/6/2022,9d
Snizzle,#QGPPPU89L,Mini Matter,1,1/6/2022,9d
ob,#YL8LRVYVJ,Mini Matter,1,1/6/2022,9d
Kenna Rys,#Q9UUUVRYV,SN JAIN,2,1/6/2022,9d
AjmalHussainLa,#QYRGRV99J,SN JAIN,2,1/6/2022,9d
籠耐克,#QYJ0CLCV9,SN JAIN,3,1/6/2022,9d
me,#QL90GJPCU,SN JAIN,2,1/6/2022,9d
kickme,#Q99RYRPPY,Mini Matter,1,1/6/2022,9d
Darth Rey,#Q2VPR0U0G,SN JAIN,3,1/6/2022,9d
alli,#QPVY0GPCC,SN JAIN,4,1/6/2022,9d
flavian,#QYVR8L089,SN JAIN,2,1/6/2022,9d
太阳部落冲突,#L28JPL9R,SN JAIN,4,1/6/2022,9d
xdfv,#LVGV8C2LV,SN JAIN,2,1/6/2022,9d
BRO HENG SOLO,#LU022RGGR,SN JAIN,3,1/6/2022,9d
w . l,#QYLCQ0R98,SN JAIN,2,1/6/2022,9d
MagicSnowman,#QGP2Q9PRG,Mini Matter,1,1/6/2022,9d
pikachu,#QLPGV98U2,SN JAIN,2,1/6/2022,9d
Karizma,#80JLVUJYV,SN JAIN,3,1/6/2022,9d
寄付者Karuko,#LV9RCGYCY,Mini Matter,3,1/6/2022,9d
Karaka,#QPQCLG809,Mini Matter,5,1/6/2022,9d
Evan,#QPCQJVPP9,SN JAIN,2,1/6/2022,9d
G.O.L.D.,#Y0GLU0G9Y,Mini Matter,2,1/6/2022,9d
purlple stuff,#QY8CUPGUJ,SN JAIN,2,1/6/2022,9d
胤禩,#QPGQJYUC2,SN JAIN,2,1/6/2022,9d
Daksh,#QPCLL8YUQ,SN JAIN,1,1/6/2022,9d
Trizz,#QGYQ8RG0Y,Mini Matter,1,1/6/2022,9d
BlueNxtz,#Q0L2PGVVJ,Mini Matter,1,11/6/2021,71d
MiketheMinion,#QYPV2C2UR,Mini Matter,1,11/6/2021,71d
Lucus,#PQR8JJ8G2,Mini Matter,1,11/6/2021,71d
NeckBoi,#QLLUCUPUG,Mini Matter,1,11/6/2021,71d
Khan,#8U89VJCJG,Mini Matter,1,11/6/2021,71d
Alex The Brave,#Q8YQ0CCQ2,Mini Matter,3,8/5/2021,164d
Monkeylette,#PV2CG0YJ8,Mini Matter,2,8/5/2021,164d
morf0wt,#QYG9PVYJP,Mini Matter,3,8/5/2021,164d
DocDon,#PYV2U22QP,Mini Matter,2,8/5/2021,164d
DonkeyKongJr,#9LVR9Q9UV,Brute Force,1,12/8/2021,39d
McLovin,#RLRQU09P,Brute Force,1,12/8/2021,39d
LeeJ,#UJL9YQLY,Brute Force,1,12/8/2021,39d
DANG,#Y9R8VC00,Brute Force,1,12/8/2021,39d
Aussie,#2CJGPPR0P,Brute Force,1,12/8/2021,39d
Revolt,#289YCRGU2,Brute Force,1,12/8/2021,39d
ZekeTheFreak,#RVYY9Q8P,Brute Force,1,12/8/2021,39d
"Drew, And",#GL9JRQR2,Brute Force,1,12/8/2021,39d
Dragons,#C292RPPY,Brute Force,1,12/8/2021,39d
Blue,#JCYYY9VY,Brute Force,1,12/8/2021,39d
Tricky,#RGVCJJUY,Brute Force,1,12/8/2021,39d
HomeSlicedToast,#G099YGUG,Brute Force,1,12/8/2021,39d
Alex,#LUQ9989,Brute Force,1,12/8/2021,39d
Pixalite,#29Q8Y200G,Brute Force,1,5/26/2021,235d
Willy,#22Q8Y2CU9,Brute Force,2,5/26/2021,235d
Kiwi,#2C9LR9P2Q,Brute Force,2,5/26/2021,235d
Pride,#92GJ2JUCG,Brute Force,1,5/26/2021,235d
Tanner,#2JC0QGRYG,Wookies,1,3/28/2021,294d
Willy,#22Q8Y2CU9,Wookies,1,3/28/2021,294d
Baby Dragon,#98P0GPCQC,Wookies,1,3/28/2021,294d
Wet Nightmare,#LQ0PGV0LJ,Wookies,1,3/28/2021,294d
ob,#YL8LRVYVJ,Wookies,1,3/28/2021,294d
Lola,#QGGVQ9P8C,Mini Matter,5,1/14/2022,2d
Darth Chewi,#Q8GPYC9PR,Mini Matter,10,1/14/2022,2d
Kakitani,#QL0CJCP0P,Mini Matter,10,1/14/2022,2d
Alex The Strong,#Q9PU2PJJL,Mini Matter,7,1/14/2022,2d
kickme,#Q99RYRPPY,Mini Matter,6,1/14/2022,2d
Stomper,#QR8VYPQPC,Mini Matter,2,1/14/2022,2d
Krakatoa,#Q2UQQPGPP,Mini Matter,9,1/14/2022,2d
ob,#YL8LRVYVJ,Mini Matter,9,1/14/2022,2d
ben,#QLR0RCUYV,Mini Matter,4,1/14/2022,2d
Mr. Coco 1.2,#QY299LG90,Mini Matter,10,1/14/2022,2d
Snizzle,#QGPPPU89L,Mini Matter,6,1/14/2022,2d
Jre,#Q8U8L2VP9,Mini Matter,3,1/14/2022,2d
FlipDon,#PRVV2GV80,Mini Matter,10,1/14/2022,2d
G.O.L.D.,#Y0GLU0G9Y,Mini Matter,9,1/14/2022,2d
bread god,#LR0L89LUP,Mini Matter,8,1/14/2022,2d
Damp Nap,#QPVJP22QG,Mini Matter,7,1/14/2022,2d
Karaka,#QPQCLG809,Mini Matter,10,1/14/2022,2d
MiniPix,#LLURGGVP0,Mini Matter,7,1/14/2022,2d
寄付者Karuko,#LV9RCGYCY,Mini Matter,9,1/14/2022,2d
Dream v2,#Q9PC8PJYJ,Mini Matter,7,1/14/2022,2d
MagicSnowman,#QGP2Q9PRG,Mini Matter,8,1/14/2022,2d
Monkeylette,#PV2CG0YJ8,Mini Matter,1,1/14/2022,2d
speph0100000000,#QGC028R0Q,Mini Matter,1,1/11/2022,4d
Stabybullets,#92RLVQ2RR,Mini Matter,2,1/11/2022,4d
Trizz,#QGYQ8RG0Y,Mini Matter,4,1/9/2022,7d
Tchaba,#8GRJLLG,Mini Matter,2,1/9/2022,7d
pikachu,#QLPGV98U2,SN JAIN,1,1/6/2022,9d
Gabe Alls,#QPC9UG0G2,SN JAIN,1,1/6/2022,9d
w . l,#QYLCQ0R98,SN JAIN,1,1/6/2022,9d
Chimmy,#LVRGVCPCU,SN JAIN,1,1/6/2022,9d
cgrice10,#QYCUUVYRL,SN JAIN,1,1/6/2022,9d
SHINYSHOOTER,#Q80UPV2GJ,SN JAIN,1,1/6/2022,9d
Kiyoko,#QY8YJ8R0Q,SN JAIN,1,1/6/2022,9d
Globslashes,#QPGJUL0PC,SN JAIN,1,1/6/2022,9d
BRO HENG SOLO,#LU022RGGR,SN JAIN,1,1/6/2022,9d
毛猴头。,#LVU9UCG89,SN JAIN,1,1/6/2022,9d
R..I..D..E..R,#YCVVG992L,SN JAIN,1,1/6/2022,9d
太阳部落冲突,#L28JPL9R,SN JAIN,1,1/6/2022,9d
xdfv,#LVGV8C2LV,SN JAIN,1,1/6/2022,9d
Lei,#QYVPLCC8J,SN JAIN,1,1/6/2022,9d
flavian,#QYVR8L089,SN JAIN,1,1/6/2022,9d
ELLIOT10,#Q88PPJCG0,SN JAIN,1,1/6/2022,9d
Darth Rey,#Q2VPR0U0G,SN JAIN,1,1/6/2022,9d
alli,#QPVY0GPCC,SN JAIN,1,1/6/2022,9d
籠耐克,#QYJ0CLCV9,SN JAIN,1,1/6/2022,9d
me,#QL90GJPCU,SN JAIN,1,1/6/2022,9d
AjmalHussainLa,#QYRGRV99J,SN JAIN,1,1/6/2022,9d
Kenna Rys,#Q9UUUVRYV,SN JAIN,1,1/6/2022,9d
purlple stuff,#QY8CUPGUJ,SN JAIN,1,1/6/2022,9d
胤禩,#QPGQJYUC2,SN JAIN,1,1/6/2022,9d
Daksh,#QPCLL8YUQ,SN JAIN,1,1/6/2022,9d
Evan,#QPCQJVPP9,SN JAIN,1,1/6/2022,9d
texanji,#QP820PV88,SN JAIN,1,1/6/2022,9d
Cody belenger,#QPUVJPRYP,SN JAIN,1,1/6/2022,9d
Karizma,#80JLVUJYV,SN JAIN,1,1/6/2022,9d
rushed base):,#QYR9RQP0Q,SN JAIN,1,1/6/2022,9d
Alex The Brave,#Q8YQ0CCQ2,Mini Matter,4,12/30/2021,17d
Elder's DoorMan,#YRCJ9L80R,Mini Matter,4,12/30/2021,17d
Spoon,#QJYYPPYUC,Mini Matter,2,12/30/2021,17d
Cosmic Monkey,#QLQ8GUVVJ,Mini Matter,2,12/22/2021,25d
*Heisman*,#QRU8U9R98,Mini Matter,2,12/19/2021,28d
Didrik,#8QC0222Q0,Mini Matter,1,12/16/2021,30d
BlueNxtz,#Q0L2PGVVJ,Mini Matter,1,12/16/2021,30d
Lucus,#PQR8JJ8G2,Mini Matter,1,12/16/2021,30d
Wookie,#QLYYUL0Q8,Mini Matter,1,12/16/2021,30d
Khan,#8U89VJCJG,Mini Matter,1,12/16/2021,30d
Damp Nap,#QPVJP22QG,Endor,1,8/24/2021,145d
Wet Nightmare,#LQ0PGV0LJ,Endor,3,8/24/2021,145d
Pixal,#QP00RQV0,Endor,1,8/24/2021,145d
Sloth,#Y9V8LUCLQ,Endor,3,8/9/2021,159d
Dry Dream,#LVY9R20CR,Endor,1,8/9/2021,159d
luca,#L09J8JPY0,Endor,1,8/9/2021,159d
Dark Emperor,#22PUCYQCL,Endor,1,8/9/2021,159d
marleigh,#QGCLV2J0,Endor,1,8/9/2021,159d
Karuko,#2G2YCU0P9,Endor,1,8/9/2021,159d
Sandip!,#2GCV29CGG,Endor,1,8/9/2021,159d
Pride,#92GJ2JUCG,Endor,3,8/9/2021,159d
Tricky,#RGVCJJUY,Endor,3,8/9/2021,159d
Blue,#JCYYY9VY,Endor,3,8/9/2021,159d
Warlords Outcry,#VG0PV298,Endor,3,8/9/2021,159d
Baby Dragon,#LPU228892,Endor,2,6/9/2021,220d
o0o_Jerson_o0o,#PL9VLC9RP,Endor,2,6/9/2021,220d
morfowt,#2PLJPGR0Q,Endor,2,6/9/2021,220d
Onahole,#8PP29PLC8,Endor,1,6/7/2021,222d
Sloth,#Y9V8LUCLQ,Killer_Black_Wf,1,9/10/2021,128d
turtle,#P2JLJU89L,Killer_Black_Wf,1,9/10/2021,128d
STEM enjoyer,#QPLPJRJQP,Killer_Black_Wf,1,9/10/2021,128d
turtlette,#PJUVP2GUC,Killer_Black_Wf,1,9/10/2021,128d
Xenpachi,#LJJLUL92L,Killer_Black_Wf,1,9/10/2021,128d
DarkLight,#Q89UJYRV0,Killer_Black_Wf,1,9/10/2021,128d
Designerpog,#QP2LUC009,Killer_Black_Wf,1,9/10/2021,128d
Dark Emperor,#22PUCYQCL,Killer_Black_Wf,1,9/10/2021,128d
borse11,#LYC9YC9CQ,Killer_Black_Wf,1,9/10/2021,128d
TMG,#QY0LUG22J,Killer_Black_Wf,1,9/10/2021,128d
Sandip!,#2GCV29CGG,Killer_Black_Wf,1,9/10/2021,128d
Pixal,#990LG8Q9R,Killer_Black_Wf,1,9/10/2021,128d
koo1aid 22,#Y2RU9C00P,Killer_Black_Wf,1,9/10/2021,128d
Baby Dragon,#98P0GPCQC,Killer_Black_Wf,1,9/10/2021,128d
Pride,#92GJ2JUCG,Killer_Black_Wf,1,9/10/2021,128d
Beyond,#Q0PYP8U0V,Killer_Black_Wf,1,9/10/2021,128d
Gutti Guy,#2YYL8LC9Q,Killer_Black_Wf,1,9/10/2021,128d
DangerDan,#QPVQU9CQ8,Golden Clan,8,1/16/2022,7h
DarkLight,#Q89UJYRV0,Golden Clan,9,1/16/2022,7h
Sir Stomp A Lot,#GGP0J2VQ,Golden Clan,11,1/16/2022,7h
TMG,#QY0LUG22J,Golden Clan,6,1/16/2022,7h
Dreadnought,#8CJCC8U,Golden Clan,2,1/16/2022,7h
ALEX 19 91,#LRQLUUGL,Golden Clan,5,1/16/2022,7h
Gluttony,#P9R8CY0RC,Golden Clan,10,1/16/2022,7h
_____.ded.___,#GU9P2RCY,Golden Clan,2,1/16/2022,7h
Baby Dragon,#LPU228892,Golden Clan,10,1/16/2022,7h
Hypathios,#82C9UC0U9,Golden Clan,11,1/16/2022,7h
