,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
150,Mori,#8V09P8PPQ,11/27/2021,8,Legendary Monks,6,2,0.3333333333333333
152,Mr. CoCo,#Q9VGC0CQ8,11/27/2021,8,Legendary Monks,6,2,0.3333333333333333
173,divit,#Y9CG9QCLQ,11/15/2021,9,Legendary Monks,6,1,0.16666666666666666
174,Raffallo,#PQY22VU2L,11/15/2021,8,Legendary Monks,6,1,0.16666666666666666
175,Ivan The Deetch,#QPQUY8P00,11/15/2021,9,Legendary Monks,6,1,0.16666666666666666
312,__Neard__,#88P09Y2GQ,,13,Legendary Monks,6,0,0.0
313,robiX,#2PQV9GYQ,,12,Legendary Monks,6,0,0.0
314,VILLAGE BICYCLE,#222VPJPU,,14,Legendary Monks,6,0,0.0
315,Hannibal Lecter,#QLP92PVVV,,9,Legendary Monks,6,0,0.0
316,Jimbooo,#QPPCJ8RJ8,,9,Legendary Monks,6,0,0.0
317,Gutti Guy 2,#Y9LCJP8LQ,,9,Legendary Monks,6,0,0.0
318,Hermes2.0,#QYJUGCVYV,,9,Legendary Monks,6,0,0.0
319,GreenBean17,#Q2CYRV99J,,8,Legendary Monks,6,0,0.0
320,⚔️FC Warrior⚔️,#LVJ0LPCU9,,8,Legendary Monks,6,0,0.0
321,Chewi ⭐⭐⭐⭐⭐,#P08LRYVYJ,,9,Legendary Monks,6,0,0.0
322,Alex The Great,#Q9P9JCVRV,,6,Legendary Monks,6,0,0.0
