,Name,Tag,Total Attacks,PlayerTag,PlayerName,TownHall,Clan
0,littlesonshine,#RCV08YPR,48,#PUCCG908Y,Lucid,12.0,Sheer Force
1,Pixal,#990LG8Q9R,44,#280QYU8Y,Logan,14.0,Sheer Force
2,Blue,#JCYYY9VY,42,#J9RGCLGL,Triton,13.0,Sheer Force
3,Karuko,#2G2YCU0P9,40,#9PC2U8G98,Bullet,14.0,Sheer Force
4,Harsh (gt)25,#2CJPGVLQ2,36,#20R9QGCJC,verbatxm,10.0,Sheer Force
5,luvly,#Q9GPQ08Y8,36,#Y9P0RUU0,sillysilas,12.0,Sheer Force
6,verbatxm,#20R9QGCJC,28,#RCV08YPR,littlesonshine,12.0,Sheer Force
7,Pixalite,#29Q8Y200G,26,#P29R0UYJP,Grandma 去,10.0,Sheer Force
8,SkyNet,#292LQVGP8,26,#82C9UC0U9,Hypathios,12.0,Sheer Force
9,Left Pix,#82GLJC8YQ,24,#YYLC2CJ20,Kramer,9.0,Sheer Force
10,��g V�?,#LGGUJVRCJ,24,#2CJPGVLQ2,Harsh (gt)25,10.0,Sheer Force
11,Bullet,#9PC2U8G98,26,#8RR28YU2,Sickno,11.0,Sheer Force
12,o0o_Jerson_o0o,#PL9VLC9RP,24,#990LG8Q9R,Pixal,11.0,Sheer Force
13,HomeSlicedToast,#G099YGUG,22,#Y8LP9VCV,Casper 1,11.0,Sheer Force
14,Ossamy,#LCJ088C2,26,#2G2YCU0P9,Karuko,10.0,Sheer Force
15,BK1,#LRUGQY80P,20,#RYC8LYG2,Shadvox,10.0,Sheer Force
16,marleigh,#QGCLV2J0,20,#PGY0Q9Q2L,THUNDERPULSE360,9.0,Sheer Force
17,GAWD,#PJCPC8280,24,#G099YGUG,HomeSlicedToast,11.0,Sheer Force
18,ZARD,#LJ92JJ8Q,20,#QGCLV2J0,marleigh,11.0,Sheer Force
19,.:.Ahu.:.,#JLRJ2GPV,18,#PGPJV9VCJ,Deer,9.0,Sheer Force
20,Dry Dream,#LVY9R20CR,18,#UGYUR2V9,THE DARK VENOM,10.0,Sheer Force
21,Lucid,#PUCCG908Y,20,#P8UUCPR8U,Parth,9.0,Sheer Force
22,Pork_Adobo,#QU29PUQ8,16,#LJ92JJ8Q,ZARD,10.0,Sheer Force
23,jeraldlsx,#PPQJG9G0V,16,#LVY9R20CR,Dry Dream,10.0,Sheer Force
24,?????,#YPV0JUQYU,30,#2VUUV2VJ2,Ed,10.0,Sheer Force
25,Right Pix,#9PJG98QCR,16,#YPPUPJU9U,ɑԵԵɑϲƘҽɾ ⓐⓕⓡⓐⓣⓗ,9.0,Sheer Force
26,sillysilas,#Y9P0RUU0,16,#Y9V8LUCLQ,Sloth,9.0,Sheer Force
27,TheXGamers,#Y0QV999G,18,#L0JV0LQR0,MY5T3RY5M4RT13,9.0,Sheer Force
28,BlueNxtz,#Q0L2PGVVJ,14,#9PVQ9RJJG,Salim,9.0,Sheer Force
29,tank,#GPGCC9PG,14,#L09J8JPY0,luca,10.0,Sheer Force
30,NATURE BOY...,#PPJPGCQYR,16,#2LQ9Y8CUR,kingTzilla,7.0,Sheer Force
31,Sickno,#8RR28YU2,14,#292LQVGP8,SkyNet,10.0,Sheer Force
32,Collin,#PP2L0LUL9,12,#Q9GPQ08Y8,luvly,9.0,Sheer Force
33,FredTime,#LV9CQQUR9,16,#LV9CQQUR9,FredTime,9.0,Sheer Force
34,Deer,#PGPJV9VCJ,12,#LC2Q8UPGP,Anubis,9.0,Sheer Force
35,Mark,#YLRRQQCPU,12,#PJRGJUY08,ElusiveStream,10.0,Sheer Force
36,Eric,#2LPCUCLYR,12,#Q2V2QPQ0P,Fisk,8.0,Sheer Force
37,Grandma ?,#P29R0UYJP,16,#Q0L0VY0PQ,Kismet_27,9.0,Sheer Force
38,Nicholas Ng,#QUR022QG,12,#9GRLJC9UJ,ChewDon,9.0,Sheer Force
39,FORHAN,#92RQUC802,14,#YV9P9GC0P,/AaRoN\,9.0,Sheer Force
40,Hero,#2GQ22RCCG,12,#LPU228892,Baby Dragon,9.0,Sheer Force
41,Ed,#2VUUV2VJ2,10,#QPCGUVVQC,Nick v2,8.0,Sheer Force
42,Crispy,#QPQLY992,14,#LQ2P9VU88,Theo,8.0,Sheer Force
43,Hypathios,#82C9UC0U9,12,#2CYVR82QQ,ᴾᴿᴼシMoнᴅκᴀιғ,9.0,Sheer Force
44,Cole 2.0,#9P0VGQLJP,10,,,,
45,THUNDERPULSE360,#PGY0Q9Q2L,10,,,,
46,qwertyuiop6,#LPPQJQYJU,8,,,,
47,AllJamSammich,#YVR2CYPL9,8,,,,
48,Royal Peasant,#P8820VGYP,8,,,,
49,Anubis,#LC2Q8UPGP,8,,,,
50,Shadvox,#RYC8LYG2,8,,,,
51,Triton,#J9RGCLGL,10,,,,
52,MY5T3RY5M4RT13,#L0JV0LQR0,8,,,,
53,No U,#L0GR9RJ82,14,,,,
54,GH96,#YCV2CQ280,6,,,,
55,/AaRoN\,#YV9P9GC0P,6,,,,
56,Designerpog,#QP2LUC009,8,,,,
57,Saransh,#2VR92U9UP,6,,,,
58,Tobias Forge,#JY09C9UJ,6,,,,
59,mathnerd66,#LVC9YVCYR,8,,,,
60,Kramer,#YYLC2CJ20,8,,,,
61,morfowt,#2PLJPGR0Q,6,,,,
62,eduardossoler,#LL929V2YC,8,,,,
63,Syckno,#PU0GUCPJC,4,,,,
64,DethKiler,#90GLQR090,4,,,,
65,NauTxz,#909R0GP8,4,,,,
66,Kismet_27,#Q0L0VY0PQ,12,,,,
67,Theo,#LQ2P9VU88,8,,,,
68,Real Bad Donkey,#PYUUYP8L,4,,,,
69,"Drew, And",#GL9JRQR2,4,,,,
70,Ice Golem,#Q2RUCY88L,4,,,,
71,SLAY DOG,#YLG82C9Y2,8,,,,
72,JUMBO JUICE,#Q2LU9RCC8,18,,,,
73,Mr.D,#CQP2RLY0,4,,,,
74,THE DARK VENOM,#UGYUR2V9,6,,,,
75,Asser,#22C9V9G2L,6,,,,
76,Parth,#P8UUCPR8U,4,,,,
77,MAD DOG,#L0Q80VRJ2,4,,,,
78,Austin,#8QP9Y0PJR,6,,,,
79,Dynamic,#LQ29P98VL,4,,,,
80,kingTzilla,#2LQ9Y8CUR,2,,,,
81,Salim,#9PVQ9RJJG,2,,,,
82,????Mo??????,#2CYVR82QQ,2,,,,
83,BenDon,#9GRLJC9UJ,2,,,,
84,dk,#LLC20U2PG,2,,,,
85,A is for Apples,#P8L8P9PC9,2,,,,
86,NICK,#PLP02Q2P,4,,,,
87,DarkPrince,#9YJG22RLG,2,,,,
88,_Maxmus_,#88Q22R2Y8,2,,,,
89,Strider,#9PP22PVPR,2,,,,
90,Nick v2,#QPCGUVVQC,2,,,,
91,Sloth,#Y9V8LUCLQ,2,,,,
92,go easy on me,#LJVCYVPV9,2,,,,
93,MR.Z,#2LRRYLVR2,2,,,,
94,Timmyboy,#90RPL0LGL,2,,,,
95,Fisk,#Q2V2QPQ0P,2,,,,
96,�ch?t?n????��,#P809UL0R9,2,,,,
97,Hypoxia,#YV2YJ2QGQ,26,,,,
98,SteveWearsPrada,#20LUYL88P,2,,,,
99,hajtowa,#YUGQYUR0U,2,,,,
100,Jacody,#LRLV8JU9V,2,,,,
101,Black Vomit,#LYLGG9JVL,2,,,,
102,Sashimi,#RR8CRQ8Y,2,,,,
103,Ben,#YG0P9U290,2,,,,
104,Alex O Maners14,#YJRLJGVYC,2,,,,
