,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
38,Mini Dang,#QQP99P2PL,9/26/2021,7,Mini Matter,8,2,0.25
41,Tweight,#Q9992Y9RL,9/26/2021,6,Mini Matter,8,1,0.125
43,medead,#QYYCPYCUR,9/26/2021,5,Mini Matter,8,1,0.125
44,daddy mick,#QGCUUJJQR,9/26/2021,4,Mini Matter,8,1,0.125
50,Blood Oath,#QYC2GCPGQ,9/26/2021,6,Mini Matter,8,3,0.375
51,OldPlayer,#Q2YVY9PLC,9/26/2021,6,Mini Matter,8,2,0.25
53,wendiGustiawan,#QGYCR2LGG,9/24/2021,5,Mini Matter,8,1,0.125
54,Faylyne.,#QYCY8PGYU,9/24/2021,6,Mini Matter,8,2,0.25
55,Taran 2,#YGGVR2820,9/24/2021,7,Mini Matter,8,1,0.125
56,Bucknuts,#QQ88VUQCR,9/24/2021,5,Mini Matter,8,1,0.125
58,BerickTK,#200GQC002,9/24/2021,7,Mini Matter,8,1,0.125
60,DocDon,#PYV2U22QP,9/17/2021,5,Mini Matter,8,2,0.25
62,Doorman SP,#L20CJU9C0,9/17/2021,3,Mini Matter,8,1,0.125
63,Beowulf,#QLLJQUQLV,9/15/2021,7,Mini Matter,8,1,0.125
64,morf0wt,#QYG9PVYJP,9/11/2021,7,Mini Matter,8,1,0.125
65,PrimeDrag™,#Q88P2YGR9,9/11/2021,2,Mini Matter,8,3,0.375
66,KnightBm™,#LRP2LVQCU,9/8/2021,8,Mini Matter,8,2,0.25
279,mini string,#PUYCRJC,,14,Mini Matter,8,0,0.0
280,shadow1402,#LQ9RYJUQC,,11,Mini Matter,8,0,0.0
281,наскел,#9QQYYR29,,12,Mini Matter,8,0,0.0
282,NeckBoi,#QLLUCUPUG,,5,Mini Matter,8,0,0.0
283,Baby Dream,#LCQYULLVR,,7,Mini Matter,8,0,0.0
284,Cao90,#QQPJU9QV8,,5,Mini Matter,8,0,0.0
285,phil r doe,#LV9G8JQG2,,3,Mini Matter,8,0,0.0
286,phil r smith,#QLV0GYQGJ,,3,Mini Matter,8,0,0.0
287,NightmAre,#QQ8RP22R0,,5,Mini Matter,8,0,0.0
288,phil r upper,#QR80LP2PL,,3,Mini Matter,8,0,0.0
289,Baby Sapp,#Q89GYGU88,,3,Mini Matter,8,0,0.0
290,toddy,#Q9LRLVL8U,,4,Mini Matter,8,0,0.0
291,Phil R Mann,#QPCGRQR2P,,3,Mini Matter,8,0,0.0
