,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
207,Tøxïç Šūrgë,#R9YRCQC8,10/27/2021,12.0,Sheer Force,7,3,0.42857142857142855
208,Drews A God,#QU0RGRYG,10/27/2021,9.0,Sheer Force,7,3,0.42857142857142855
210,DangerDan,#QPVQU9CQ8,10/27/2021,9.0,Sheer Force,7,3,0.42857142857142855
211,STEM enjoyer,#QPLPJRJQP,10/27/2021,10.0,Sheer Force,7,2,0.2857142857142857
216,Right Pix,#9PJG98QCR,10/27/2021,8.0,Sheer Force,7,3,0.42857142857142855
220,HadiKhalifa,#UQ2289UG,10/27/2021,9.0,Sheer Force,7,3,0.42857142857142855
223,Lindberghh III,#Q288YUQ99,10/27/2021,9.0,Sheer Force,7,3,0.42857142857142855
226,Nefertiti,#8GJGJCVL9,10/23/2021,10.0,Sheer Force,7,2,0.2857142857142857
228,Pixalite,#29Q8Y200G,10/18/2021,9.0,Sheer Force,7,1,0.14285714285714285
229,Kismet_27,#Q0L0VY0PQ,10/18/2021,9.0,Sheer Force,7,3,0.42857142857142855
230,Envy,#2UQC92UUY,10/16/2021,11.0,Sheer Force,7,2,0.2857142857142857
231,Lindberghh V,#RVCRYRY,10/16/2021,10.0,Sheer Force,7,2,0.2857142857142857
232,f2,#LUPYQ0G9C,10/14/2021,9.0,Sheer Force,7,1,0.14285714285714285
331,__Neard1__,#YRJ2CG29R,,,Sheer Force,7,0,0.0
332,turtle,#P2JLJU89L,,,Sheer Force,7,0,0.0
333,verbatxm,#20R9QGCJC,,,Sheer Force,7,0,0.0
334,ALEX 19 91,#LRQLUUGL,,,Sheer Force,7,0,0.0
335,John,#2G0R9YRCR,,,Sheer Force,7,0,0.0
336,ml,#8Y0C08VU0,,,Sheer Force,7,0,0.0
337,SkyNet,#292LQVGP8,,,Sheer Force,7,0,0.0
338,ChewDon,#9GRLJC9UJ,,,Sheer Force,7,0,0.0
339,Pork_Adobo,#QU29PUQ8,,,Sheer Force,7,0,0.0
340,Hut,#98PQ0G0LJ,,,Sheer Force,7,0,0.0
341,You,#LUGV8UP2C,,,Sheer Force,7,0,0.0
