,Name,Tag,Wars,Total Wars,Joined Wars
3,39strike,#L092VV0Q,1,6,0.16666666666666666
4,5ick,#RCCCUP2G,1,6,0.16666666666666666
6,Aid2,#8LY0RYJ28,0,6,0.0
8,Alex The Brave,#Q8YQ0CCQ2,2,6,0.3333333333333333
11,Antonio Ferrari,#Q2P9889LU,1,6,0.16666666666666666
15,BEDWARSop,#Q2UQUGLC2,1,6,0.16666666666666666
18,BedwarsOP,#Q9QV9J2L8,2,6,0.3333333333333333
21,Big Mac,#9P9GR08Y,0,6,0.0
23,Blanc,#LYQC08J8Y,2,6,0.3333333333333333
25,Blue,#JCYYY9VY,2,6,0.3333333333333333
27,Boom,#8PCGPU8Q,1,6,0.16666666666666666
28,Braulio,#CGRJVVV0,1,6,0.16666666666666666
32,CHICKIN (3),#QLRG0R2UR,0,6,0.0
33,CHICKIN (TH7),#QYPRPQQ0L,1,6,0.16666666666666666
34,CalDon,#PPCJCJ9J9,0,6,0.0
35,CheekyMonkey,#YVQLRC02G,2,6,0.3333333333333333
38,Chewi ⭐⭐⭐⭐⭐,#P08LRYVYJ,0,6,0.0
39,Clasher Fan,#9R89Q2VC9,0,6,0.0
48,Darth Ackbar,#LU0Q9GG99,0,6,0.0
50,Darth Greedo,#QQQUJPLQC,0,6,0.0
51,Darth Grogu,#QYVPPQQYQ,0,6,0.0
55,DocDon,#PYV2U22QP,1,6,0.16666666666666666
64,Dry Dream,#LVY9R20CR,2,6,0.3333333333333333
66,EeicTheLanky,#QLJ0LPC8V,0,6,0.0
67,Elder's DoorMan,#YRCJ9L80R,0,6,0.0
69,Enflung,#L22ULUUQ,2,6,0.3333333333333333
71,Eric,#2LPCUCLYR,0,6,0.0
77,George Sink,#LGGQVC90G,0,6,0.0
80,Gutti Guy 2,#Y9LCJP8LQ,0,6,0.0
82,Hannibal Lecter,#QLP92PVVV,1,6,0.16666666666666666
83,Hec,#8QLG0YVVJ,0,6,0.0
84,Hut,#2J0GYGJJQ,0,6,0.0
85,Hut?,#PYVJR2U89,0,6,0.0
87,Joker,#QLR9G08Q9,2,6,0.3333333333333333
88,Joyel!!,#9C2QLPYLC,0,6,0.0
89,Jre,#Q8U8L2VP9,1,6,0.16666666666666666
94,Khan,#8U89VJCJG,1,6,0.16666666666666666
95,King Rog,#82JVRL8R,0,6,0.0
99,Lalo,#GC0CG8L0,2,6,0.3333333333333333
100,LeeJ,#UJL9YQLY,2,6,0.3333333333333333
101,Left Pix,#82GLJC8YQ,0,6,0.0
104,Logan,#280QYU8Y,2,6,0.3333333333333333
107,Lucus,#PQR8JJ8G2,1,6,0.16666666666666666
112,Mario,#9QV9JJLRL,0,6,0.0
113,Matt,#2208RQJRJ,2,6,0.3333333333333333
116,McNuggets,#VRJ9VG0R,2,6,0.3333333333333333
117,Melvin,#Q2JUGG2R0,0,6,0.0
122,Minicam19K,#P8L8PG9CC,2,6,0.3333333333333333
124,Mr. CoCo,#Q9VGC0CQ8,2,6,0.3333333333333333
143,Seperation,#QLYPJCLQP,1,6,0.16666666666666666
144,Silentium,#2PLYJRYQQ,2,6,0.3333333333333333
152,StringFire,#92RVQGR0C,0,6,0.0
154,Survivor Pete,#88YC8LQCP,0,6,0.0
155,THE CHALLENGER,#QQPQ8RR82,0,6,0.0
158,Thor⚡️,#8G8JL9PPR,1,6,0.16666666666666666
159,Tricky,#RGVCJJUY,1,6,0.16666666666666666
161,Tøxïç Šūrgë,#R9YRCQC8,2,6,0.3333333333333333
164,VILLAGE BICYCLE,#222VPJPU,0,6,0.0
170,Xx-Zeus-xX,#VVQUYUR,0,6,0.0
174,Zenrig,#LU2GGJ98Y,0,6,0.0
178,aid,#CVYC8LQV,0,6,0.0
180,ben,#QLR0RCUYV,2,6,0.3333333333333333
186,jaycee,#QGGV8G9JL,1,6,0.16666666666666666
188,julia,#LYQ20U2JP,1,6,0.16666666666666666
190,king drewbie,#Q2PYGPUC8,1,6,0.16666666666666666
191,kllacam19k,#2QGLGU0LY,1,6,0.16666666666666666
192,lagger,#LYQ2LL2G8,0,6,0.0
193,laro,#Q82C8C2L0,1,6,0.16666666666666666
196,mini string,#PUYCRJC,0,6,0.0
197,ml,#8Y0C08VU0,1,6,0.16666666666666666
199,morfow+,#PJUVP2GUC,2,6,0.3333333333333333
204,ramzi,#2PY0U2YRJ,2,6,0.3333333333333333
207,sqwaddles,#82CLLGUGR,2,6,0.3333333333333333
209,turtle,#P2JLJU89L,0,6,0.0
210,verbatxm,#20R9QGCJC,2,6,0.3333333333333333
211,wolf.zen,#QGYLCPLGJ,2,6,0.3333333333333333
214,yazan and mazen,#8Y2282J8C,0,6,0.0
216,yobama,#QYRGV809Y,2,6,0.3333333333333333
217,⚔️FC Warrior⚔️,#LVJ0LPCU9,0,6,0.0
219,⭐️⭐️Smooth⭐️⭐️,#URRP2LLY,2,6,0.3333333333333333
