Name,Tag,Last War,Town Hall,Clan,Total Wars
Darth Rey,#Q2VPR0U0G,8/12/2021,3,SN JAIN,2
Ntfb_Slay,#Q2C9R2LY9,8/12/2021,6,SN JAIN,8
寄付者Karuko,#LV9RCGYCY,8/12/2021,7,SN JAIN,6
Globslashes,#QPGJUL0PC,8/12/2021,5,SN JAIN,6
texanji,#QP820PV88,8/12/2021,4,SN JAIN,4
Kakitani,#QL0CJCP0P,8/12/2021,4,SN JAIN,4
R..I..D..E..R,#YCVVG992L,8/5/2021,6,SN JAIN,3
SHINYSHOOTER,#Q80UPV2GJ,8/5/2021,5,SN JAIN,4
alli,#QPVY0GPCC,8/5/2021,6,SN JAIN,2
ELLIOT10,#Q88PPJCG0,8/5/2021,7,SN JAIN,3
太阳部落冲突,#L28JPL9R,8/5/2021,6,SN JAIN,2
籠耐克,#QYJ0CLCV9,8/5/2021,5,SN JAIN,1
haley,#Q9PVV2CGR,8/5/2021,10,SN JAIN,3
BRO HENG SOLO,#LU022RGGR,7/31/2021,7,SN JAIN,2
Karizma,#80JLVUJYV,7/31/2021,8,SN JAIN,1
purlple stuff,#QY8CUPGUJ,7/30/2021,4,SN JAIN,3
Evan,#QPCQJVPP9,7/25/2021,6,SN JAIN,2
weed,#QQ9YJGYLU,7/25/2021,9,SN JAIN,2
flavian,#QYVR8L089,7/22/2021,5,SN JAIN,1
cgrice10,#QYCUUVYRL,7/21/2021,7,SN JAIN,1
Pixalite,#29Q8Y200G,5/26/2021,9,Brute Force,1
Willy,#22Q8Y2CU9,5/26/2021,10,Brute Force,2
Kiwi,#2C9LR9P2Q,5/26/2021,12,Brute Force,2
Trap Master,#2JQGJ8LU9,5/26/2021,10,Brute Force,1
Pride,#92GJ2JUCG,5/26/2021,10,Brute Force,1
Arc7han7gel7,#289RJQL8C,3/28/2021,14,Wookies,1
Willy,#22Q8Y2CU9,3/28/2021,10,Wookies,1
Wet Nightmare,#LQ0PGV0LJ,3/28/2021,14,Wookies,1
Baby Dragon,#98P0GPCQC,3/28/2021,14,Wookies,1
ob,#YL8LRVYVJ,3/28/2021,9,Wookies,1
iopo,#LYR9JGUYQ,3/28/2021,9,Wookies,1
Tanner,#2JC0QGRYG,3/28/2021,13,Wookies,1
Aurora,#LQYQLGRQY,3/28/2021,10,Wookies,1
Blood Oath,#QYC2GCPGQ,9/26/2021,6,Mini Matter,4
OldPlayer,#Q2YVY9PLC,9/26/2021,6,Mini Matter,2
Alex The Strong,#Q9PU2PJJL,9/26/2021,7,Mini Matter,5
BlueNxtz,#Q0L2PGVVJ,9/26/2021,8,Mini Matter,9
Darth Chewi,#Q8GPYC9PR,9/26/2021,5,Mini Matter,9
寄付者Karuko,#LV9RCGYCY,9/26/2021,7,Mini Matter,6
medead,#QYYCPYCUR,9/26/2021,5,Mini Matter,1
daddy mick,#QGCUUJJQR,9/26/2021,4,Mini Matter,1
