"Name","Tag","Clan","Enemy Clan","War ID","Ended","War Type","Team Size","Missed"
"Luca","#8J2LGRUU","Endor","land of clã","228412","8/6/2021","CWL","30","1"
"GAWD","#PJCPC8280","Endor","land of clã","228412","8/6/2021","CWL","30","1"
"Teyang konyak","#LUVPGC22L","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Globslashes","#QPGJUL0PC","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Oo Zaw TT","#QPGC908VQ","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"alli","#QPVY0GPCC","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Olle","#QYRPQQVGR","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Non rushed","#QYRRGV9LV","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"籠耐克","#QYJ0CLCV9","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"R..I..D..E..R","#YCVVG992L","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"sheep","#QQL0QQ9G0","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"NicoGreeko","#QYV2RVL80","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Kakitani","#QL0CJCP0P","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","1"
"太阳部落冲突","#L28JPL9R","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"ELLIOT10","#Q88PPJCG0","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"haley","#Q9PVV2CGR","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","1"
"jackson","#QP9VR2CR8","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"SHINYSHOOTER","#Q80UPV2GJ","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"FlipDon","#PRVV2GV80","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"rio","#Q2P20V2J0","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"punyhuman","#QY9CLP9CG","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Alex The Brave","#Q8YQ0CCQ2","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Andre.","#QPQ802Y0C","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Duckman","#LC9QCR9YQ","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Mr. Coco 1.2","#QY299LG90","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Tommy","#9PL0JPVP9","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"DocDon","#PYV2U22QP","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Monkeylette","#PV2CG0YJ8","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Darth Chewi","#Q8GPYC9PR","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Doorman SP","#L20CJU9C0","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"panda","#QPYG2UYJP","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Curtickle","#Q08UPC0G","Endor","✌✌الهيبة✌✌","222508","8/4/2021","CWL","30","1"
"SIMI","#288JCJ9VR","Killer_Black_Wf","Dark demons","220078","8/3/2021","CWL","15","1"
"Teyang konyak","#LUVPGC22L","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"Ntfb_Slay","#Q2C9R2LY9","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","1"
"Globslashes","#QPGJUL0PC","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"Oo Zaw TT","#QPGC908VQ","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"alli","#QPVY0GPCC","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","1"
"NinesOoalGown","#QPVQPR8GL","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"靓仔","#QPG90CYVQ","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"R..I..D..E..R","#YCVVG992L","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"sheep","#QQL0QQ9G0","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"NicoGreeko","#QYV2RVL80","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"Kakitani","#QL0CJCP0P","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"太阳部落冲突","#L28JPL9R","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"haley","#Q9PVV2CGR","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"texanji","#QP820PV88","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"SHINYSHOOTER","#Q80UPV2GJ","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"Sid4realtho","#YQUC0QLY8","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"rio","#Q2P20V2J0","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Karaka","#QPQCLG809","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"punyhuman","#QY9CLP9CG","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Alex The Brave","#Q8YQ0CCQ2","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Andre.","#QPQ802Y0C","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"morf0wt","#QYG9PVYJP","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Duckman","#LC9QCR9YQ","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Booger County","#QY92C9CVV","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"CaptainBowie","#QGYCJ8RQQ","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"DocDon","#PYV2U22QP","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Monkeylette","#PV2CG0YJ8","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Darth Chewi","#Q8GPYC9PR","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"panda","#QPYG2UYJP","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
